Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17004_001,SE_A17004_002,SE_A17004_003,SE_A17004_004,SE_A17004_005,SE_A17004_006,SE_A17004_007,SE_A17004_008,SE_A17004_009,SE_A17004_010,SE_A17004_011,SE_A17004_012,SE_A17004_013,SE_A17004_014,SE_A14006_001,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"06001","Alameda County, California","ACSSF","ca","050","00","0000013",,,,,"06","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06001","Alameda County",,,,874563,3041,46632,86454,19652,76703,45851,31695,52854,178926,191349,69974,39506,31926,112017,1673133,1298591,499730,166017,5248,524980,12699,8642,81275,374542,101061,4615,7209,3522,612,189184,68339,1193863,131272,198825,271096,337847,181206,36650,36967
"06003","Alpine County, California","ACSSF","ca","050","00","0000014",,,,,"06","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06003","Alpine County",,,,522,30,12,36,0,75,46,0,5,62,142,97,1,16,96000,1344,1147,730,8,354,10,0,0,45,197,66,0,33,0,7,4,87,969,61,249,278,200,84,56,41
"06005","Amador County, California","ACSSF","ca","050","00","0000015",,,,,"06","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06005","Amador County",,,,15114,635,1415,725,175,1602,825,271,789,1582,2684,1847,988,1576,69955,40095,34129,30081,930,257,429,18,316,2098,5966,2713,67,89,29,0,1600,1468,31725,2757,9724,13052,4317,1119,583,173
"06007","Butte County, California","ACSSF","ca","050","00","0000016",,,,,"06","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06007","Butte County",,,,96203,3951,6166,6063,1849,12236,3911,1916,5227,9811,25724,10517,4511,4321,59863,217884,179902,153153,3897,1451,10617,517,299,9968,37982,16397,102,1013,357,107,11403,8603,142167,13734,31704,54420,27819,9170,3507,1813
"06009","Calaveras County, California","ACSSF","ca","050","00","0000017",,,,,"06","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06009","Calaveras County",,,,16631,715,1874,1020,359,2009,954,278,895,2087,3004,1432,694,1310,70119,45349,39421,35925,439,284,1020,18,18,1717,5928,2448,0,264,0,0,1313,1903,34951,3214,10815,13963,4876,1439,412,232
"06011","Colusa County, California","ACSSF","ca","050","00","0000018",,,,,"06","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06011","Colusa County",,,,9538,2040,430,1216,235,895,714,47,200,468,1374,898,389,632,61861,21780,8603,7398,293,140,144,31,18,579,13177,7577,69,152,52,0,2833,2494,13942,3719,4246,3934,1558,361,75,49
"06013","Contra Costa County, California","ACSSF","ca","050","00","0000019",,,,,"06","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County",,,,570386,3568,42151,36841,12546,56581,33008,14288,43714,96950,130313,48259,28168,23999,110455,1161643,857322,483519,96256,2158,203875,5268,4956,61290,304321,97004,4004,5649,3043,343,131247,63031,805020,82564,140633,227162,218293,93424,25108,17836
"06015","Del Norte County, California","ACSSF","ca","050","00","0000020",,,,,"06","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06015","Del Norte County",,,,9245,616,589,271,218,1067,234,126,208,586,2598,823,455,1454,53280,27655,21992,16617,799,1683,810,43,401,1639,5663,2567,24,187,14,0,1812,1059,19703,3825,6101,6601,2070,743,223,140
"06017","El Dorado County, California","ACSSF","ca","050","00","0000021",,,,,"06","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County",,,,87325,1331,7124,5770,1560,8100,3544,1447,6519,12272,17236,11576,4616,6230,88770,190568,165206,145363,1492,632,9145,280,381,7913,25362,16018,147,459,301,24,4869,3544,139444,7421,28993,51667,34494,11238,3892,1739
"06019","Fresno County, California","ACSSF","ca","050","00","0000022",,,,,"06","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06019","Fresno County",,,,415669,37394,25422,26776,13602,43984,24689,4955,17985,38852,102639,33924,19460,25987,61276,1003150,461806,279940,42525,4340,104266,1561,2945,26229,541344,264693,2757,7708,2687,126,156112,107261,619376,136835,140532,201826,93209,29946,12040,4988
"06021","Glenn County, California","ACSSF","ca","050","00","0000023",,,,,"06","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06021","Glenn County",,,,12172,2390,794,1132,207,1516,855,33,154,658,2124,893,716,700,56332,28675,16380,14365,117,348,996,36,42,476,12295,7131,51,342,0,0,3776,995,18294,4303,5538,5728,2226,353,74,72
"06023","Humboldt County, California","ACSSF","ca","050","00","0000024",,,,,"06","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County",,,,60195,3334,4714,2817,1198,7306,2250,738,2465,5937,14237,7071,3842,4286,53350,137014,120137,98786,1488,5192,4194,384,658,9435,16877,5752,252,639,138,64,6110,3922,93815,8451,21654,34447,19376,6442,2137,1308
"06025","Imperial County, California","ACSSF","ca","050","00","0000025",,,,,"06","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06025","Imperial County",,,,58404,5539,3522,2379,1497,7126,3733,444,2042,4266,14015,5222,2228,6391,49078,180051,26833,17510,4447,1283,2232,102,146,1113,153218,68966,442,1255,293,64,56455,25743,110267,32595,28187,32727,12239,3297,941,281
"06027","Inyo County, California","ACSSF","ca","050","00","0000026",,,,,"06","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06027","Inyo County",,,,8356,277,743,220,152,758,427,161,371,482,2083,1039,409,1234,60925,18804,14352,11253,72,1756,286,23,39,923,4452,2661,16,351,12,0,550,862,13746,1088,4188,4721,2217,1163,155,214
"06029","Kern County, California","ACSSF","ca","050","00","0000027",,,,,"06","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06029","Kern County",,,,353637,50894,25476,19192,8975,36150,22902,3292,12359,28122,77526,29106,16064,23579,58824,905644,409902,291410,45929,3998,42216,1065,2994,22290,495742,272773,2812,4844,1596,149,121574,91994,552243,132826,152266,169915,63839,24163,6185,3049
