"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Household Income (In 2021 Inflation Adjusted Dollars)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Total Employed Civilian Population 16 Years and Over","Employed Civilian Population 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining","Employed Civilian Population 16 Years and Over: Construction","Employed Civilian Population 16 Years and Over: Manufacturing","Employed Civilian Population 16 Years and Over: Wholesale Trade","Employed Civilian Population 16 Years and Over: Retail Trade","Employed Civilian Population 16 Years and Over: Transportation and Warehousing, and Utilities","Employed Civilian Population 16 Years and Over: Information","Employed Civilian Population 16 Years and Over: Finance and Insurance, and Real Estate and Rental  and Leasing","Employed Civilian Population 16 Years and Over: Professional, Scientific, and Management, and  Administrative and Waste Management Services","Employed Civilian Population 16 Years and Over: Educational Services, and Health Care and Social  Assistance","Employed Civilian Population 16 Years and Over: Arts, Entertainment, and Recreation, and  Accommodation and Food Services","Employed Civilian Population 16 Years and Over: Other Services, Except Public Administration","Employed Civilian Population 16 Years and Over: Public Administration","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races","Total Population"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A17004_001,SE_A17004_002,SE_A17004_003,SE_A17004_004,SE_A17004_005,SE_A17004_006,SE_A17004_007,SE_A17004_008,SE_A17004_009,SE_A17004_010,SE_A17004_011,SE_A17004_012,SE_A17004_013,SE_A17004_014,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A00001_001
"06001","Alameda County, California","ACSSF","ca","050","00","0000013",,,,,"06","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06001","Alameda County",,,,112017,1193863,131272,1062591,863766,592670,254823,73617,36967,874563,3041,46632,86454,19652,76703,45851,31695,52854,178926,191349,69974,39506,31926,1673133,1298591,499730,166017,5248,524980,12699,8642,81275,374542,101061,4615,7209,3522,612,189184,68339,1673133
"06003","Alpine County, California","ACSSF","ca","050","00","0000014",,,,,"06","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06003","Alpine County",,,,96000,969,61,908,659,381,181,97,41,522,30,12,36,0,75,46,0,5,62,142,97,1,16,1344,1147,730,8,354,10,0,0,45,197,66,0,33,0,7,4,87,1344
"06005","Amador County, California","ACSSF","ca","050","00","0000015",,,,,"06","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06005","Amador County",,,,69955,31725,2757,28968,19244,6192,1875,756,173,15114,635,1415,725,175,1602,825,271,789,1582,2684,1847,988,1576,40095,34129,30081,930,257,429,18,316,2098,5966,2713,67,89,29,0,1600,1468,40095
"06007","Butte County, California","ACSSF","ca","050","00","0000016",,,,,"06","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06007","Butte County",,,,59863,142167,13734,128433,96729,42309,14490,5320,1813,96203,3951,6166,6063,1849,12236,3911,1916,5227,9811,25724,10517,4511,4321,217884,179902,153153,3897,1451,10617,517,299,9968,37982,16397,102,1013,357,107,11403,8603,217884
"06009","Calaveras County, California","ACSSF","ca","050","00","0000017",,,,,"06","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06009","Calaveras County",,,,70119,34951,3214,31737,20922,6959,2083,644,232,16631,715,1874,1020,359,2009,954,278,895,2087,3004,1432,694,1310,45349,39421,35925,439,284,1020,18,18,1717,5928,2448,0,264,0,0,1313,1903,45349
"06011","Colusa County, California","ACSSF","ca","050","00","0000018",,,,,"06","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06011","Colusa County",,,,61861,13942,3719,10223,5977,2043,485,124,49,9538,2040,430,1216,235,895,714,47,200,468,1374,898,389,632,21780,8603,7398,293,140,144,31,18,579,13177,7577,69,152,52,0,2833,2494,21780
"06013","Contra Costa County, California","ACSSF","ca","050","00","0000019",,,,,"06","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County",,,,110455,805020,82564,722456,581823,354661,136368,42944,17836,570386,3568,42151,36841,12546,56581,33008,14288,43714,96950,130313,48259,28168,23999,1161643,857322,483519,96256,2158,203875,5268,4956,61290,304321,97004,4004,5649,3043,343,131247,63031,1161643
"06015","Del Norte County, California","ACSSF","ca","050","00","0000020",,,,,"06","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06015","Del Norte County",,,,53280,19703,3825,15878,9777,3176,1106,363,140,9245,616,589,271,218,1067,234,126,208,586,2598,823,455,1454,27655,21992,16617,799,1683,810,43,401,1639,5663,2567,24,187,14,0,1812,1059,27655
"06017","El Dorado County, California","ACSSF","ca","050","00","0000021",,,,,"06","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County",,,,88770,139444,7421,132023,103030,51363,16869,5631,1739,87325,1331,7124,5770,1560,8100,3544,1447,6519,12272,17236,11576,4616,6230,190568,165206,145363,1492,632,9145,280,381,7913,25362,16018,147,459,301,24,4869,3544,190568
