"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Total Employed Civilian Population 16 Years and Over","Employed Civilian Population 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining","Employed Civilian Population 16 Years and Over: Construction","Employed Civilian Population 16 Years and Over: Manufacturing","Employed Civilian Population 16 Years and Over: Wholesale Trade","Employed Civilian Population 16 Years and Over: Retail Trade","Employed Civilian Population 16 Years and Over: Transportation and Warehousing, and Utilities","Employed Civilian Population 16 Years and Over: Information","Employed Civilian Population 16 Years and Over: Finance and Insurance, and Real Estate and Rental  and Leasing","Employed Civilian Population 16 Years and Over: Professional, Scientific, and Management, and  Administrative and Waste Management Services","Employed Civilian Population 16 Years and Over: Educational Services, and Health Care and Social  Assistance","Employed Civilian Population 16 Years and Over: Arts, Entertainment, and Recreation, and  Accommodation and Food Services","Employed Civilian Population 16 Years and Over: Other Services, Except Public Administration","Employed Civilian Population 16 Years and Over: Public Administration","Median Household Income (In 2021 Inflation Adjusted Dollars)","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17004_001,SE_A17004_002,SE_A17004_003,SE_A17004_004,SE_A17004_005,SE_A17004_006,SE_A17004_007,SE_A17004_008,SE_A17004_009,SE_A17004_010,SE_A17004_011,SE_A17004_012,SE_A17004_013,SE_A17004_014,SE_A14006_001,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"0600001","Acton-Agua Dulce Unified School District, California","ACSSF","ca","970","00","0043878",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00001",,,,,,,"97000US0600001","Acton-Agua Dulce Unified School District",,,,5383,91,679,554,134,526,380,406,239,611,872,364,236,291,104577,11773,8383,7589,101,110,306,0,11,266,3390,1618,2,69,16,0,1313,372,8907,719,8188,5790,2299,661,233,149
"0600009","Cuyama Joint Unified School District, California","ACSSF","ca","970","00","0043879",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00009",,,,,,,"97000US0600009","Cuyama Joint Unified School District",,,,369,149,65,23,0,11,4,18,15,16,29,7,20,12,46458,1096,615,543,0,0,24,24,0,24,481,340,0,5,0,0,135,1,774,99,675,458,207,33,17,4
"0600011","Fort Sage Unified School District, California","ACSSF","ca","970","00","0043880",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00011",,,,,,,"97000US0600011","Fort Sage Unified School District",,,,725,24,40,13,38,112,54,0,0,21,73,36,0,314,50104,3442,2820,2018,498,126,25,4,0,149,622,491,0,7,0,0,75,49,2859,607,2252,1480,297,111,68,68
"0600013","Rocklin Unified School District, California","ACSSF","ca","970","00","0043881",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00013",,,,,,,"97000US0600013","Rocklin Unified School District",,,,31765,261,1885,1887,780,3508,1445,686,2726,4304,8042,2626,1339,2276,106209,68023,58599,45028,1171,262,7684,119,497,3838,9424,4262,51,37,52,0,2176,2846,43690,1789,41901,35797,20854,7274,2180,572
"0600014","Hesperia Unified School District, California","ACSSF","ca","970","00","0043882",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00014",,,,,,,"97000US0600014","Hesperia Unified School District",,,,42205,290,5302,2841,1231,6077,6624,456,1265,3134,7082,3974,2379,1550,60562,110072,44029,35004,3706,193,2656,124,172,2174,66043,43205,260,832,179,46,12229,9292,66273,13867,52406,29017,6985,1981,133,30
"0600015","Lucerne Valley Unified School District, California","ACSSF","ca","970","00","0043883",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00015",,,,,,,"97000US0600015","Lucerne Valley Unified School District",,,,1863,147,190,82,3,107,98,0,52,345,441,103,197,98,35426,6963,4209,3531,218,103,138,11,0,208,2754,1414,0,15,0,0,714,611,4838,1119,3719,1996,617,257,52,33
"0600016","Upland Unified School District, California","ACSSF","ca","970","00","0043884",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00016",,,,,,,"97000US0600016","Upland Unified School District",,,,38795,191,2729,3035,794,4150,3247,752,2296,3815,10183,3622,2120,1861,85091,77176,44059,28580,4290,121,7243,85,354,3386,33117,13631,260,632,391,36,11258,6909,53400,5007,48393,37758,18802,6919,1833,779
"0600017","Apple Valley Unified School District, California","ACSSF","ca","970","00","0043885",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00017",,,,,,,"97000US0600017","Apple Valley Unified School District",,,,30112,189,2295,1840,636,3153,3248,402,1005,3148,7881,2171,2157,1987,63031,83976,51461,39994,5191,285,2347,218,187,3239,32515,18737,197,426,283,0,6069,6803,53567,7064,46503,30224,9681,3694,882,392
"0600018","Mountain Valley Unified School District, California","ACSSF","ca","970","00","0043886",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00018",,,,,,,"97000US0600018","Mountain Valley Unified School District",,,,696,50,59,46,0,97,140,0,42,18,13,134,49,48,37197,4026,3515,3115,70,29,88,29,0,184,511,78,0,0,0,0,376,57,3291,223,3068,1014,475,212,57,57
