chem_code,chemalpha_cd,chemname
1158,200,"ABIETIC ACID"
1212,300,"ABIETIC ANHYDRIDE"
2346,325,"ACACIA"
5801,330,"ACEQUINOCYL"
5762,350,"ACETAMIPRID"
4048,385,"ACENAPHTHENE"
1685,400,"ACEPHATE"
3012,425,"ACETALDEHYDE"
933,500,"ACETIC ACID"
3013,507,"ACETIC ACID, COPPER (2+) SALT"
5065,510,"ACETIC ACID, SODIUM SALT (2:1)"
3014,512,"ACETIC ANHYDRIDE"
2349,525,"ACETOCHLOR"
2350,575,"ACETOHEXAMIDE"
747,600,"ACETONE"
3015,650,"ACETONITRILE"
2074,700,"ACETOPHENONE"
3017,727,"ACETYLATED LANOLIN"
3018,728,"ACETYLATED LANOLIN ALCOHOL"
5113,730,"ACETYLSALICYLIC ACID"
5338,733,"ACIBENZOLAR-S-METHYL"
2352,735,"ACID BLUE 7"
2154,750,"ACID BLUE 9, DIAMMONIUM SALT"
3562,775,"ACID BLUE 9, DISODIUM SALT"
2353,800,"ACID BLUE 182"
2155,935,"ACID YELLOW 23"
2218,950,"ACIFLUORFEN, SODIUM SALT"
1340,1000,"ACRIFLAVINE"
3,1100,"ACROLEIN"
3567,1150,"ACRYLAMIDE/SODIUM ACRYLATE COPOLYMER"
2118,1300,"ACRYLIC ACID"
3019,1320,"ACRYLONITRILE"
1724,1600,"ADIPIC ACID"
3872,1603,"ADIPIC ACID, DIISOBUTYL ESTER"
2355,1605,"AERON"
3568,1607,"AGAR"
2356,1610,"AGENT 551-85"
2357,1615,"AGENT 1059-106"
2358,1620,"AGENT 1059-108"
3881,1622,"AGENT 1315-33A"
3879,1624,"AGENT 1315-33N"
3880,1626,"AGENT 1594-9"
2359,1630,"AGENT W-218"
1984,1650,"AGROBACTERIUM RADIOBACTER"
5477,1660,"AGROBACTERIUM RADIOBACTER, STRAIN K1026"
1421,1670,"AKTON"
91421,1680,"AKTON, OTHER RELATED"
678,1700,"ALACHLOR"
5804,1705,"ALACHLOR ETHANESULFONIC ACID"
5805,1710,"ALACHLOR OXANILIC ACID"
2700,1800,"ALCOHOL ETHOXYLATE (C9-C11, 6 EO)"
2011,1850,"ALCOHOL SULFATES"
2067,1900,"ALCOHOLS, C4-C12, NORMAL"
5824,1905,"ALCOHOLS, C6-C10"
5072,1910,"ALCOHOLS, C6-12"
5073,1920,"ALCOHOLS, C8-10"
575,2000,"ALDICARB"
4049,2015,"TOTAL ALDICARB PARENT AND BREAKDOWN PRODUCTS"
2361,2025,"ALDICARB SULFOXIDE"
2265,2050,"ALDOXYCARB"
9,2100,"ALDRIN"
90009,2200,"ALDRIN, OTHER RELATED"
3569,2225,"ALFALFA"
3570,2227,"ALFALFA MEAL"
3571,2250,"ALGIN"
2362,2300,"ALIPHATIC AMINES"
5764,2325,"ALIPHATIC POLYCARBOXYLATE"
5322,2350,"ALKANOLAMIDE SURFACTANTS"
2363,2425,"ALKATRONIC PGP-33-4"
2364,2450,"ALKENOIC ACID POLY OXYALKYLENE ETHER & ALKYL POLY OXYALKYLENE ETHER"
1036,2500,"ALKENYL (75%C18, 25%C16) DIMETHYLAMINE ACETATE"
1243,2600,"ALKENYL (90%C18, 10%C16) DIMETHYLETHYL AMMONIUM BROMIDE"
1388,2700,"ALKOXYETHYL PHOSPHATE"
2020,2750,"3-ALKOXY (C12-C15)-2-HYDROXYPROPYL TRIMETHYL AMMONIUM CHLORIDE"
1390,2800,"ALKOXY POLY (ETHYLENEOXY) ETHYL PHOSPHATE"
1706,2900,"ALKYL AND ALKYLARYL POLY (OXYETHYLENE) GLYCOLS, MIXED"
1141,3000,"ALKYLAMINE ACETATE"
1122,3100,"ALKYLAMINE HYDROCHLORIDE ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
2065,3125,"ALKYL (46%C12, 24%C14, 10%C16, 8%C10, 7%C8, 5%C18) AMINOBETAINE"
1830,3150,"1-(ALKYLAMINO)-3-AMINOPROPANE"
2365,3175,"1-ALKYL (C6 TO C18) AMINO-3-AMINOPROPANE ACETATE"
1954,3200,"1-ALKYL (C6-C18) AMINO-3-AMINOPROPANE DIACETATE"
1972,3250,"ALKYLAMINO-3-AMINOPROPANE HYDROXYACETATE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
1335,3275,"1-ALKYLAMINO-2-AMINOPROPANE MONOACETATE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
2366,3285,"ALKYL ARYL ALKOXYLATE"
2037,3300,"ALKYLARYL HYDROXYPOLY (OXYETHYLENE) ETHANOL"
5323,3350,"ALKYLARYL POLYETHOXYETHANOL SULFATES"
1199,3400,"ALKYLARYL SULFONATES"
1211,3500,"ALKYLARYL SULFONATES, AMINE SALTS"
2367,3525,"ALPHA-ALKYL ARYL-OMEGA HYDROXY POLY OXYETHYLENE ISOPROPANOL AND DIMETHYL POLYSILOXANE"
5131,3530,"ALPHA-ALKYL-OMEGA-HYDROXYPOLY(OXYETHYLENE)MIXTURE OF DIHYDROGENPHOSPHATE AND MONOHYDROGEN PHOSPHATE ESTERS"
2174,3550,"ALKYLARYL POLYALKOXYLATED ALCOHOLS"
878,3600,"ALKYLARYL POLYETHER ALCOHOL"
