site_code,site_name
-1,"UNKNOWN"
10,"STRUCTURAL PEST CONTROL"
30,"LANDSCAPE MAINTENANCE"
40,"RIGHTS OF WAY"
50,"PUBLIC HEALTH"
60,"COUNTY AG COMM"
80,"VERTEBRATE CONTROL"
90,"COMMODITY FUMIGATION"
91,"FUMIGATION, OTHER"
99,"RESEARCH COMMODITY"
100,"REGULATORY PEST CONTROL"
151,"N-GRNHS FLOWER"
152,"N-OUTDR FLOWER"
153,"N-GRNHS PLANTS IN CONTAINERS"
154,"N-OUTDR PLANTS IN CONTAINERS"
155,"N-GRNHS TRANSPLANTS"
156,"N-OUTDR TRANSPLANTS"
1000,"SMALL FRUITS/BERRY"
1002,"BLACKBERRY"
1003,"BOYSENBERRY"
1004,"DEWBERRY"
1005,"LOGANBERRY"
1006,"RASPBERRY"
1009,"BLUEBERRY"
1010,"CRANBERRY"
1013,"GOOSEBERRY"
1016,"STRAWBERRY"
1023,"BUSHBERRY"
2000,"CITRUS"
2002,"GRAPEFRUIT"
2003,"KUMQUAT"
2004,"LEMON"
2005,"LIME"
2006,"ORANGE"
2007,"TANGELO"
2008,"TANGERINE"
3000,"NUTS"
3001,"ALMOND"
3003,"CASHEW"
3004,"CHESTNUT"
3008,"PECAN"
3009,"WALNUT"
3011,"PISTACHIO"
4000,"POME FRUIT"
4001,"APPLE"
4003,"PEAR"
4004,"QUINCE"
5000,"STONE FRUIT"
5001,"APRICOT"
5002,"CHERRY"
5003,"NECTARINE"
5004,"PEACH"
5005,"PLUM"
5006,"PRUNE"
6000,"TROPICAL/SUBTROPICAL FRUIT"
6002,"BANANA"
6004,"DATE"
6005,"FIG"
6007,"MANGO"
6010,"PAPAYA"
6012,"PERSIMMON"
6013,"PINEAPPLE"
6015,"POMEGRANATE"
6018,"KIWI"
6028,"CACTUS PEAR"
6030,"CHERIMOYA"
7000,"BEVERAGE CROP"
8000,"HERB, SPICE"
8004,"ANISE"
8006,"BASIL, SWEET"
8015,"DILL"
8019,"GINGER"
8020,"HOPS"
8035,"SAGE"
8041,"TARRAGON"
8050,"PEPPER, SPICE"
10000,"CUCURBITS"
10002,"CANTALOUPE"
10008,"WATERMELON"
10010,"CUCUMBER"
10011,"PUMPKIN"
